protein_external_id	preferred_name	protein_size	annotation
287.DR97_1	DR97_1	749	annotation not available
287.DR97_10	DR97_10	758	annotation not available
287.DR97_100	nasS	402	annotation not available
287.DR97_1000	DR97_1000	63	annotation not available
287.DR97_1001	DR97_1001	442	annotation not available
287.DR97_1002	yaiL	179	Nucleoprotein/polynucleotide-associated enzyme
287.DR97_1003	lpxO2	312	annotation not available
287.DR97_1004	mazG	276	Nucleoside triphosphate pyrophosphohydrolase; mazG: MazG family protein
287.DR97_1005	relA	747	GTP pyrophosphokinase; In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
287.DR97_1006	rumA	450	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD; Catalyzes the formation of 5-methyl-uridine at position 1939 (m5U1939) in 23S rRNA
287.DR97_1007	cysM	299	cysM: cysteine synthase B; Belongs to the cysteine synthase/cystathionine beta- synthase family
287.DR97_1008	pfeA1	693	Ferric enterobactin receptor; tonB-siderophor: TonB-dependent siderophore receptor family protein
287.DR97_1009	pfeS1	446	annotation not available
287.DR97_101	nasT	192	annotation not available
287.DR97_1010	pfeR1	239	Transcriptional regulatory , C terminal family protein
287.DR97_1011	gacS	925	annotation not available
287.DR97_1012	ddh	329	annotation not available
287.DR97_1013	DR97_1013	141	Uncharacterized protein
287.DR97_1014	DR97_1014	135	annotation not available
287.DR97_1015	DR97_1015	642	annotation not available
287.DR97_1016	dinB	349	DNA polymerase IV; Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII
287.DR97_1018	DR97_1018	104	Transcriptional regulator
287.DR97_1019	DR97_1019	119	annotation not available
287.DR97_102	DR97_102	231	annotation not available
287.DR97_1020	DR97_1020	881	Uncharacterized protein
287.DR97_1021	DR97_1021	427	annotation not available
287.DR97_1022	DR97_1022	182	annotation not available
287.DR97_1023	kup	634	Probable potassium transport system protein kup; Transport of potassium into the cell
287.DR97_1024	rimO	440	Ribosomal protein S12 methylthiotransferase RimO; Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12; Belongs to the methylthiotransferase family. RimO subfamily
287.DR97_1025	DR97_1025	153	Uncharacterized protein
287.DR97_1026	DR97_1026	130	Uncharacterized protein
287.DR97_1027	mgtE	482	Magnesium transporter MgtE; Acts as a magnesium transporter
287.DR97_1028	DR97_1028	179	Uncharacterized protein
287.DR97_1029	DR97_1029	150	Conserved hypothetical protein
287.DR97_103	DR97_103	403	2A0108: nitrite transporter family protein
287.DR97_1030	DR97_1030	167	Uncharacterized protein
287.DR97_1031	DR97_1031	91	Phage holin family protein
287.DR97_1032	DR97_1032	124	annotation not available
287.DR97_1033	DR97_1033	176	Uncharacterized protein
287.DR97_1034	prtR3	237	annotation not available
287.DR97_1038	DR97_1038	61	Carbon storage regulator homolog; Could accelerate the degradation of some genes transcripts potentially through selective RNA binding
287.DR97_1039	lysC	412	Aspartokinase; Asp_kin_monofn: aspartate kinase, monofunctional class; Belongs to the aspartokinase family
287.DR97_104	ppkB	555	annotation not available
287.DR97_1040	alaS	874	Alanine--tRNA ligase; Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
287.DR97_1041	gly1	334	annotation not available
287.DR97_1042	astE	332	Succinylglutamate desuccinylase; Transforms N(2)-succinylglutamate into succinate and glutamate; Belongs to the AspA/AstE family. Succinylglutamate desuccinylase subfamily
287.DR97_1043	DR97_1043	96	annotation not available
287.DR97_1044	astB	448	N-succinylarginine dihydrolase; Catalyzes the hydrolysis of N(2)-succinylarginine into N(2)-succinylornithine, ammonia and CO(2)
287.DR97_1045	astD	487	N-succinylglutamate 5-semialdehyde dehydrogenase; Catalyzes the NAD-dependent reduction of succinylglutamate semialdehyde into succinylglutamate
287.DR97_1046	astA	340	arg_catab_AstA: arginine N-succinyltransferase
287.DR97_1047	aruF	338	arg_AOST_alph: arginine/ornithine succinyltransferase, alpha subunit
287.DR97_1048	aruC	406	annotation not available
287.DR97_1049	DR97_1049	86	Uncharacterized protein
287.DR97_105	nirB	816	nitri_red_nirB: nitrite reductase [NAD(P)H], large subunit; Belongs to the nitrite and sulfite reductase 4Fe-4S domain family
287.DR97_1050	argR	329	annotation not available
287.DR97_1051	aotP3	254	annotation not available
287.DR97_1052	aotO	370	annotation not available
287.DR97_1053	aotM	232	Octopine transport system permease protein OccM; HEQRo_perm_3TM: amino ABC transporter, permease , 3-TM region, His/Glu/Gln/Arg/opine family domain protein
287.DR97_1054	hisQ3	229	Histidine transport system permease protein HisQ; HEQRo_perm_3TM: amino ABC transporter, permease , 3-TM region, His/Glu/Gln/Arg/opine family domain protein
287.DR97_1055	argT3	259	3A0103s03R: lysine-arginine-ornithine-binding periplasmic family protein; Belongs to the bacterial solute-binding protein 3 family
287.DR97_1056	acsA1	651	Acetyl-coenzyme A synthetase; Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA; Belongs to the ATP-dependent AMP-binding enzyme family
287.DR97_1057	dctM	427	dctM: TRAP transporter, DctM subunit
